protocl,src,dst,classfication
6,34328,443,3
6,443,34328,3
6,443,34328,3
6,34328,443,3
6,34328,443,3
6,443,34328,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,34328,443,3
6,34328,443,3
6,443,34328,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,34328,443,3
6,34328,443,3
6,443,34328,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,34328,443,3
6,34328,443,3
6,34328,443,3
6,443,34328,3
6,443,34328,3
6,34328,443,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,34328,443,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,34328,443,3
6,443,34328,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,34328,443,3
6,34328,443,3
6,34328,443,3
6,443,34328,3
6,443,34328,3
6,34328,443,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,9001,48917,3
6,48917,9001,3
6,9001,48917,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,34328,443,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,9010,47384,3
6,47384,9010,3
6,9010,47384,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,34328,443,3
6,34328,443,3
6,34328,443,3
6,443,34328,3
6,443,34328,3
6,34328,443,3
6,34328,443,3
6,443,34328,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,34328,443,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,443,34328,3
6,34328,443,3
6,34328,443,3
6,443,34328,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,34328,443,3
6,443,34328,3
6,443,34328,3
6,34328,443,3
6,34328,443,3
6,443,34328,3
6,443,34328,3
6,34328,443,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,34328,443,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,34328,443,3
6,443,34328,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,34328,443,3
6,443,34328,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,34328,443,3
6,34328,443,3
6,34328,443,3
6,443,34328,3
6,443,34328,3
6,34328,443,3
6,34328,443,3
6,443,34328,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,34328,443,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,34328,443,3
6,443,34328,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,34328,443,3
6,34328,443,3
6,34328,443,3
6,443,34328,3
6,443,34328,3
6,34328,443,3
6,34328,443,3
6,34328,443,3
6,443,34328,3
6,443,34328,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,34328,443,3
6,34328,443,3
6,34328,443,3
6,443,34328,3
6,443,34328,3
6,34328,443,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,34328,443,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,34328,443,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
0,0,0,3
0,0,0,3
6,34328,443,3
6,34328,443,3
6,34328,443,3
6,443,34328,3
6,443,34328,3
6,34328,443,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,34328,443,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,34328,443,3
6,443,34328,3
6,443,34328,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,34328,443,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,34328,443,3
6,443,34328,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,34328,443,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,34328,443,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,34328,443,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,34328,443,3
6,34328,443,3
6,443,34328,3
6,443,34328,3
6,34328,443,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,34328,443,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,34328,443,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
0,0,0,3
0,0,0,3
6,34328,443,3
6,443,34328,3
6,443,34328,3
6,34328,443,3
6,443,34328,3
6,34328,443,3
0,0,0,3
0,0,0,3
6,34328,443,3
6,443,34328,3
6,443,34328,3
6,34328,443,3
0,0,0,3
0,0,0,3
6,34328,443,3
6,443,34328,3
6,443,34328,3
6,34328,443,3
