protocl,src,dst,classfication
6,37652,443,6
6,443,37652,6
6,443,37652,6
6,37652,443,6
6,37652,443,6
6,443,37652,6
6,443,37652,6
6,37652,443,6
6,443,37652,6
6,443,37652,6
6,443,37652,6
6,443,37652,6
6,37652,443,6
6,443,37652,6
6,443,37652,6
6,37652,443,6
6,443,37652,6
6,443,37652,6
6,37652,443,6
6,443,37652,6
6,443,37652,6
6,37652,443,6
6,443,37652,6
6,37652,443,6
6,443,37652,6
6,443,37652,6
6,443,37652,6
6,443,37652,6
6,443,37652,6
6,443,37652,6
6,443,37652,6
6,37652,443,6
6,443,37652,6
6,443,37652,6
6,37652,443,6
6,443,37652,6
6,443,37652,6
6,443,37652,6
6,443,37652,6
6,37652,443,6
6,37652,443,6
6,443,37652,6
6,443,37652,6
6,443,37652,6
6,443,37652,6
6,443,37652,6
6,443,37652,6
6,443,37652,6
6,37652,443,6
6,443,37652,6
6,443,37652,6
6,37652,443,6
6,443,37652,6
6,443,37652,6
6,37652,443,6
6,443,37652,6
6,443,37652,6
6,443,37652,6
6,443,37652,6
6,443,37652,6
6,443,37652,6
6,443,37652,6
6,37652,443,6
6,443,37652,6
6,443,37652,6
6,37652,443,6
6,37652,443,6
6,443,37652,6
6,443,37652,6
6,443,37652,6
6,443,37652,6
6,37652,443,6
6,443,37652,6
6,443,37652,6
6,37652,443,6
6,443,37652,6
6,443,37652,6
6,37652,443,6
6,443,37652,6
6,37652,443,6
6,443,37652,6
6,443,37652,6
6,443,37652,6
6,37652,443,6
6,443,37652,6
6,443,37652,6
6,37652,443,6
6,443,37652,6
6,443,37652,6
6,37652,443,6
6,443,37652,6
6,443,37652,6
6,37652,443,6
6,443,37652,6
6,443,37652,6
6,37652,443,6
6,443,37652,6
6,443,37652,6
6,37652,443,6
6,443,37652,6
6,37652,443,6
6,443,37652,6
6,443,37652,6
6,443,37652,6
6,443,37652,6
6,37652,443,6
6,443,37652,6
6,443,37652,6
6,37652,443,6
6,443,37652,6
6,443,37652,6
6,37652,443,6
6,443,37652,6
6,443,37652,6
6,37652,443,6
6,443,37652,6
6,443,37652,6
6,37652,443,6
6,443,37652,6
6,443,37652,6
6,37652,443,6
6,443,37652,6
6,443,37652,6
6,37652,443,6
6,37652,443,6
6,443,37652,6
6,37652,443,6
6,443,37652,6
6,37652,443,6
6,443,37652,6
6,37652,443,6
6,443,37652,6
6,443,37652,6
6,443,37652,6
6,443,37652,6
6,37652,443,6
6,443,37652,6
6,443,37652,6
6,37652,443,6
6,37652,443,6
6,443,37652,6
6,443,37652,6
6,443,37652,6
6,37652,443,6
6,443,37652,6
6,443,37652,6
6,37652,443,6
6,443,37652,6
6,443,37652,6
6,37652,443,6
6,37652,443,6
6,443,37652,6
6,443,37652,6
6,443,37652,6
6,443,37652,6
6,37652,443,6
6,443,37652,6
6,443,37652,6
6,37652,443,6
6,443,37652,6
6,443,37652,6
6,37652,443,6
6,443,37652,6
6,443,37652,6
6,37652,443,6
6,443,37652,6
6,443,37652,6
6,37652,443,6
6,443,37652,6
