protocl,src,dst,classfication
6,9001,34160,6
6,34160,9001,6
6,9001,34160,6
6,9001,34160,6
6,34160,9001,6
6,9001,34160,6
6,34160,9001,6
6,9001,34160,6
6,9001,34160,6
6,34160,9001,6
6,9001,34160,6
6,34160,9001,6
6,9001,34160,6
6,9001,34160,6
6,34160,9001,6
6,9001,34160,6
6,9001,34160,6
6,34160,9001,6
6,9001,34160,6
6,9001,34160,6
6,34160,9001,6
6,9001,34160,6
6,34160,9001,6
6,9001,34160,6
6,34160,9001,6
6,9001,34160,6
6,9001,34160,6
6,34160,9001,6
6,9001,34160,6
6,9001,34160,6
6,34160,9001,6
6,9001,34160,6
6,34160,9001,6
6,9001,34160,6
6,34160,9001,6
6,9001,34160,6
6,9001,34160,6
6,34160,9001,6
6,34160,9001,6
6,9001,34160,6
6,9001,34160,6
6,34160,9001,6
6,9001,34160,6
6,34160,9001,6
6,9001,34160,6
6,34160,9001,6
6,9001,34160,6
6,9001,34160,6
6,34160,9001,6
6,9001,34160,6
6,9001,34160,6
6,34160,9001,6
6,9001,34160,6
6,9001,34160,6
6,34160,9001,6
6,9001,34160,6
6,9001,34160,6
6,34160,9001,6
6,9001,34160,6
6,34160,9001,6
6,9001,34160,6
6,34160,9001,6
6,9001,34160,6
6,34160,9001,6
6,9001,34160,6
6,34160,9001,6
6,9001,34160,6
6,34160,9001,6
6,9001,34160,6
6,9001,34160,6
6,34160,9001,6
6,9001,34160,6
6,34160,9001,6
6,34160,9001,6
6,9001,34160,6
6,9001,34160,6
6,34160,9001,6
6,9001,34160,6
6,9001,34160,6
6,34160,9001,6
6,9001,34160,6
6,34160,9001,6
6,9001,34160,6
6,9001,34160,6
6,34160,9001,6
6,9001,34160,6
6,9001,34160,6
6,34160,9001,6
6,9001,34160,6
6,9001,34160,6
6,34160,9001,6
6,9001,34160,6
6,9001,34160,6
6,34160,9001,6
6,9001,34160,6
6,9001,34160,6
6,34160,9001,6
6,9001,34160,6
6,9001,34160,6
6,34160,9001,6
6,9001,34160,6
6,9001,34160,6
6,34160,9001,6
6,9001,34160,6
6,9001,34160,6
6,34160,9001,6
6,9001,34160,6
6,9001,34160,6
6,34160,9001,6
6,9001,34160,6
6,9001,34160,6
6,34160,9001,6
6,9001,34160,6
6,9001,34160,6
6,34160,9001,6
6,9001,34160,6
6,34160,9001,6
6,9001,34160,6
6,9001,34160,6
6,34160,9001,6
6,9001,34160,6
6,9001,34160,6
6,34160,9001,6
6,9001,34160,6
6,9001,34160,6
6,34160,9001,6
6,9001,34160,6
6,9001,34160,6
6,34160,9001,6
6,9001,34160,6
6,34160,9001,6
6,9001,34160,6
6,34160,9001,6
6,9001,34160,6
6,34160,9001,6
6,9001,34160,6
6,34160,9001,6
6,9001,34160,6
6,34160,9001,6
6,9001,34160,6
6,34160,9001,6
6,9001,34160,6
6,34160,9001,6
6,9001,34160,6
6,9001,34160,6
6,34160,9001,6
6,9001,34160,6
