protocol,src_port,dst_port,packet_length,timestamp,flags,src_ip,dst_ip,classification
6,58167,443,597,1456336332.394319,PA,10.0.2.15,195.154.107.23,2
6,443,58167,60,1456336332.394519,A,195.154.107.23,10.0.2.15,2
6,443,58167,597,1456336332.762220,PA,195.154.107.23,10.0.2.15,2
6,58167,443,597,1456336332.763684,PA,10.0.2.15,195.154.107.23,2
6,443,58167,60,1456336332.763802,A,195.154.107.23,10.0.2.15,2
6,443,58167,597,1456336333.061057,PA,195.154.107.23,10.0.2.15,2
6,58167,443,597,1456336333.061329,PA,10.0.2.15,195.154.107.23,2
6,443,58167,60,1456336333.061419,A,195.154.107.23,10.0.2.15,2
6,443,58167,1474,1456336333.362906,A,195.154.107.23,10.0.2.15,2
6,443,58167,1474,1456336333.363046,A,195.154.107.23,10.0.2.15,2
6,443,58167,1295,1456336333.363067,PA,195.154.107.23,10.0.2.15,2
6,58167,443,54,1456336333.363362,A,10.0.2.15,195.154.107.23,2
6,443,58167,143,1456336333.490757,PA,195.154.107.23,10.0.2.15,2
6,58167,443,597,1456336333.500589,PA,10.0.2.15,195.154.107.23,2
6,443,58167,60,1456336333.500799,A,195.154.107.23,10.0.2.15,2
6,58167,443,597,1456336333.501020,PA,10.0.2.15,195.154.107.23,2
6,443,58167,60,1456336333.501242,A,195.154.107.23,10.0.2.15,2
6,443,58167,1111,1456336333.765427,PA,195.154.107.23,10.0.2.15,2
6,58167,443,54,1456336333.805061,A,10.0.2.15,195.154.107.23,2
6,58167,443,1111,1456336335.256314,PA,10.0.2.15,195.154.107.23,2
6,443,58167,60,1456336335.256507,A,195.154.107.23,10.0.2.15,2
6,58167,443,1111,1456336335.257573,PA,10.0.2.15,195.154.107.23,2
6,443,58167,60,1456336335.257686,A,195.154.107.23,10.0.2.15,2
6,58167,443,597,1456336335.332607,PA,10.0.2.15,195.154.107.23,2
6,443,58167,60,1456336335.332843,A,195.154.107.23,10.0.2.15,2
6,443,58167,1111,1456336335.561040,PA,195.154.107.23,10.0.2.15,2
6,58167,443,54,1456336335.561094,A,10.0.2.15,195.154.107.23,2
6,58167,443,1111,1456336335.586657,PA,10.0.2.15,195.154.107.23,2
6,443,58167,60,1456336335.586863,A,195.154.107.23,10.0.2.15,2
6,443,58167,597,1456336335.690626,PA,195.154.107.23,10.0.2.15,2
6,58167,443,597,1456336335.691429,PA,10.0.2.15,195.154.107.23,2
6,443,58167,60,1456336335.691520,A,195.154.107.23,10.0.2.15,2
6,443,58167,597,1456336335.856544,PA,195.154.107.23,10.0.2.15,2
6,58167,443,597,1456336335.857659,PA,10.0.2.15,195.154.107.23,2
6,443,58167,60,1456336335.857799,A,195.154.107.23,10.0.2.15,2
6,58167,443,1111,1456336338.553651,PA,10.0.2.15,195.154.107.23,2
6,443,58167,60,1456336338.553808,A,195.154.107.23,10.0.2.15,2
6,443,58167,597,1456336338.784033,PA,195.154.107.23,10.0.2.15,2
6,58167,443,597,1456336338.785075,PA,10.0.2.15,195.154.107.23,2
6,443,58167,60,1456336338.785216,A,195.154.107.23,10.0.2.15,2
6,58167,443,1111,1456336339.277258,PA,10.0.2.15,195.154.107.23,2
6,443,58167,60,1456336339.277442,A,195.154.107.23,10.0.2.15,2
6,443,58167,597,1456336339.522638,PA,195.154.107.23,10.0.2.15,2
6,58167,443,597,1456336339.524213,PA,10.0.2.15,195.154.107.23,2
6,443,58167,60,1456336339.524411,A,195.154.107.23,10.0.2.15,2
6,58167,443,1111,1456336340.353256,PA,10.0.2.15,195.154.107.23,2
6,443,58167,60,1456336340.353733,A,195.154.107.23,10.0.2.15,2
6,443,58167,597,1456336340.587143,PA,195.154.107.23,10.0.2.15,2
6,58167,443,54,1456336340.625295,A,10.0.2.15,195.154.107.23,2
6,443,58167,597,1456336340.752688,PA,195.154.107.23,10.0.2.15,2
6,58167,443,54,1456336340.752729,A,10.0.2.15,195.154.107.23,2
6,58167,443,597,1456336340.753519,PA,10.0.2.15,195.154.107.23,2
6,443,58167,60,1456336340.753653,A,195.154.107.23,10.0.2.15,2
6,58167,443,1111,1456336342.811850,PA,10.0.2.15,195.154.107.23,2
6,443,58167,60,1456336342.812075,A,195.154.107.23,10.0.2.15,2
6,443,58167,597,1456336343.067246,PA,195.154.107.23,10.0.2.15,2
6,58167,443,54,1456336343.105200,A,10.0.2.15,195.154.107.23,2
6,443,58167,597,1456336343.233896,PA,195.154.107.23,10.0.2.15,2
6,58167,443,54,1456336343.234082,A,10.0.2.15,195.154.107.23,2
6,58167,443,597,1456336343.237286,PA,10.0.2.15,195.154.107.23,2
6,443,58167,60,1456336343.237551,A,195.154.107.23,10.0.2.15,2
6,58167,443,1111,1456336343.921569,PA,10.0.2.15,195.154.107.23,2
6,443,58167,60,1456336343.921729,A,195.154.107.23,10.0.2.15,2
6,443,58167,597,1456336344.186810,PA,195.154.107.23,10.0.2.15,2
6,58167,443,597,1456336344.190315,PA,10.0.2.15,195.154.107.23,2
6,443,58167,60,1456336344.190689,A,195.154.107.23,10.0.2.15,2
6,58167,443,1111,1456336348.108055,PA,10.0.2.15,195.154.107.23,2
6,443,58167,60,1456336348.108339,A,195.154.107.23,10.0.2.15,2
6,58167,443,597,1456336348.132223,PA,10.0.2.15,195.154.107.23,2
6,443,58167,60,1456336348.132401,A,195.154.107.23,10.0.2.15,2
6,443,58167,597,1456336348.336372,PA,195.154.107.23,10.0.2.15,2
6,58167,443,597,1456336348.338621,PA,10.0.2.15,195.154.107.23,2
6,443,58167,60,1456336348.339022,A,195.154.107.23,10.0.2.15,2
6,58167,443,1111,1456336348.624331,PA,10.0.2.15,195.154.107.23,2
6,443,58167,60,1456336348.624576,A,195.154.107.23,10.0.2.15,2
6,443,58167,597,1456336348.901245,PA,195.154.107.23,10.0.2.15,2
6,58167,443,597,1456336348.904552,PA,10.0.2.15,195.154.107.23,2
6,443,58167,60,1456336348.904943,A,195.154.107.23,10.0.2.15,2
6,58167,443,1111,1456336349.351211,PA,10.0.2.15,195.154.107.23,2
6,443,58167,60,1456336349.351498,A,195.154.107.23,10.0.2.15,2
6,58167,443,597,1456336349.416999,PA,10.0.2.15,195.154.107.23,2
6,443,58167,60,1456336349.417173,A,195.154.107.23,10.0.2.15,2
6,443,58167,597,1456336349.614869,PA,195.154.107.23,10.0.2.15,2
6,58167,443,54,1456336349.653171,A,10.0.2.15,195.154.107.23,2
6,443,58167,597,1456336349.780485,PA,195.154.107.23,10.0.2.15,2
6,58167,443,54,1456336349.780536,A,10.0.2.15,195.154.107.23,2
6,58167,443,597,1456336349.781384,PA,10.0.2.15,195.154.107.23,2
6,443,58167,60,1456336349.781472,A,195.154.107.23,10.0.2.15,2
6,58167,443,1111,1456336349.850604,PA,10.0.2.15,195.154.107.23,2
6,443,58167,60,1456336349.850714,A,195.154.107.23,10.0.2.15,2
6,58167,443,597,1456336349.852724,PA,10.0.2.15,195.154.107.23,2
6,443,58167,60,1456336349.852834,A,195.154.107.23,10.0.2.15,2
6,443,58167,597,1456336350.086571,PA,195.154.107.23,10.0.2.15,2
6,58167,443,54,1456336350.125077,A,10.0.2.15,195.154.107.23,2
6,443,58167,597,1456336350.252923,PA,195.154.107.23,10.0.2.15,2
6,58167,443,54,1456336350.252962,A,10.0.2.15,195.154.107.23,2
6,58167,443,597,1456336350.253797,PA,10.0.2.15,195.154.107.23,2
6,443,58167,60,1456336350.253916,A,195.154.107.23,10.0.2.15,2
6,58167,443,1111,1456336350.380089,PA,10.0.2.15,195.154.107.23,2
6,443,58167,60,1456336350.380212,A,195.154.107.23,10.0.2.15,2
6,443,58167,597,1456336351.019960,PA,195.154.107.23,10.0.2.15,2
6,58167,443,54,1456336351.057107,A,10.0.2.15,195.154.107.23,2
6,443,58167,597,1456336351.185713,PA,195.154.107.23,10.0.2.15,2
6,58167,443,54,1456336351.185789,A,10.0.2.15,195.154.107.23,2
6,58167,443,597,1456336351.187375,PA,10.0.2.15,195.154.107.23,2
6,443,58167,60,1456336351.187586,A,195.154.107.23,10.0.2.15,2
6,58167,443,1111,1456336351.189399,PA,10.0.2.15,195.154.107.23,2
6,443,58167,60,1456336351.189553,A,195.154.107.23,10.0.2.15,2
6,443,58167,1111,1456336351.613227,PA,195.154.107.23,10.0.2.15,2
6,58167,443,597,1456336351.614872,PA,10.0.2.15,195.154.107.23,2
6,443,58167,60,1456336351.615164,A,195.154.107.23,10.0.2.15,2
6,443,58167,597,1456336351.792420,PA,195.154.107.23,10.0.2.15,2
6,58167,443,597,1456336351.792733,PA,10.0.2.15,195.154.107.23,2
6,443,58167,60,1456336351.792832,A,195.154.107.23,10.0.2.15,2
6,443,58167,1474,1456336351.995791,A,195.154.107.23,10.0.2.15,2
6,443,58167,1233,1456336351.995855,PA,195.154.107.23,10.0.2.15,2
6,58167,443,54,1456336351.996015,A,10.0.2.15,195.154.107.23,2
6,443,58167,1392,1456336352.002014,PA,195.154.107.23,10.0.2.15,2
6,58167,443,54,1456336352.041049,A,10.0.2.15,195.154.107.23,2
6,443,58167,801,1456336352.124440,PA,195.154.107.23,10.0.2.15,2
6,58167,443,54,1456336352.124511,A,10.0.2.15,195.154.107.23,2
6,58167,443,597,1456336352.132189,PA,10.0.2.15,195.154.107.23,2
6,443,58167,60,1456336352.132356,A,195.154.107.23,10.0.2.15,2
6,58167,443,1111,1456336352.132390,PA,10.0.2.15,195.154.107.23,2
6,443,58167,60,1456336352.132475,A,195.154.107.23,10.0.2.15,2
6,443,58167,597,1456336352.337122,PA,195.154.107.23,10.0.2.15,2
6,58167,443,54,1456336352.377042,A,10.0.2.15,195.154.107.23,2
6,443,58167,1474,1456336352.470091,A,195.154.107.23,10.0.2.15,2
6,58167,443,54,1456336352.470214,A,10.0.2.15,195.154.107.23,2
6,443,58167,1310,1456336352.470321,PA,195.154.107.23,10.0.2.15,2
6,58167,443,54,1456336352.470362,A,10.0.2.15,195.154.107.23,2
6,443,58167,1392,1456336352.470435,PA,195.154.107.23,10.0.2.15,2
6,58167,443,54,1456336352.470468,A,10.0.2.15,195.154.107.23,2
6,58167,443,1111,1456336352.495178,PA,10.0.2.15,195.154.107.23,2
6,443,58167,60,1456336352.495342,A,195.154.107.23,10.0.2.15,2
6,443,58167,782,1456336352.502053,PA,195.154.107.23,10.0.2.15,2
6,58167,443,597,1456336352.503171,PA,10.0.2.15,195.154.107.23,2
6,443,58167,60,1456336352.503352,A,195.154.107.23,10.0.2.15,2
6,443,58167,597,1456336352.706782,PA,195.154.107.23,10.0.2.15,2
6,443,58167,1474,1456336352.711464,A,195.154.107.23,10.0.2.15,2
6,443,58167,1474,1456336352.711500,A,195.154.107.23,10.0.2.15,2
6,443,58167,1228,1456336352.711511,PA,195.154.107.23,10.0.2.15,2
6,58167,443,54,1456336352.711604,A,10.0.2.15,195.154.107.23,2
6,443,58167,210,1456336352.834724,PA,195.154.107.23,10.0.2.15,2
6,58167,443,597,1456336352.835744,PA,10.0.2.15,195.154.107.23,2
6,443,58167,60,1456336352.835857,A,195.154.107.23,10.0.2.15,2
6,58167,443,1514,1456336359.641355,A,10.0.2.15,195.154.107.23,2
6,58167,443,165,1456336359.641456,PA,10.0.2.15,195.154.107.23,2
6,443,58167,60,1456336359.641509,A,195.154.107.23,10.0.2.15,2
6,443,58167,1111,1456336359.994993,PA,195.154.107.23,10.0.2.15,2
6,58167,443,597,1456336359.995999,PA,10.0.2.15,195.154.107.23,2
6,443,58167,60,1456336359.996114,A,195.154.107.23,10.0.2.15,2
6,58167,443,1514,1456336359.998365,A,10.0.2.15,195.154.107.23,2
6,58167,443,165,1456336359.998404,PA,10.0.2.15,195.154.107.23,2
6,443,58167,60,1456336359.998483,A,195.154.107.23,10.0.2.15,2
6,443,58167,597,1456336360.652083,PA,195.154.107.23,10.0.2.15,2
6,58167,443,54,1456336360.689157,A,10.0.2.15,195.154.107.23,2
6,443,58167,597,1456336360.817371,PA,195.154.107.23,10.0.2.15,2
6,58167,443,54,1456336360.817469,A,10.0.2.15,195.154.107.23,2
6,58167,443,597,1456336360.821139,PA,10.0.2.15,195.154.107.23,2
6,443,58167,60,1456336360.821644,A,195.154.107.23,10.0.2.15,2
6,58167,443,1111,1456336360.825480,PA,10.0.2.15,195.154.107.23,2
6,443,58167,60,1456336360.825748,A,195.154.107.23,10.0.2.15,2
6,443,58167,1474,1456336361.399787,A,195.154.107.23,10.0.2.15,2
6,443,58167,1474,1456336361.399836,A,195.154.107.23,10.0.2.15,2
6,443,58167,1474,1456336361.399842,A,195.154.107.23,10.0.2.15,2
6,443,58167,1474,1456336361.399847,A,195.154.107.23,10.0.2.15,2
6,443,58167,1474,1456336361.399851,A,195.154.107.23,10.0.2.15,2
6,443,58167,1474,1456336361.399856,A,195.154.107.23,10.0.2.15,2
6,443,58167,1474,1456336361.399861,A,195.154.107.23,10.0.2.15,2
6,443,58167,1474,1456336361.399865,A,195.154.107.23,10.0.2.15,2
6,443,58167,1474,1456336361.399869,A,195.154.107.23,10.0.2.15,2
6,443,58167,1474,1456336361.399874,A,195.154.107.23,10.0.2.15,2
6,443,58167,1115,1456336361.399882,PA,195.154.107.23,10.0.2.15,2
6,58167,443,54,1456336361.399997,A,10.0.2.15,195.154.107.23,2
6,58167,443,597,1456336361.401120,PA,10.0.2.15,195.154.107.23,2
6,443,58167,60,1456336361.401264,A,195.154.107.23,10.0.2.15,2
6,443,58167,1392,1456336361.406419,PA,195.154.107.23,10.0.2.15,2
6,443,58167,1392,1456336361.416940,PA,195.154.107.23,10.0.2.15,2
6,58167,443,54,1456336361.416976,A,10.0.2.15,195.154.107.23,2
6,443,58167,1392,1456336361.520194,PA,195.154.107.23,10.0.2.15,2
6,443,58167,1474,1456336361.527404,A,195.154.107.23,10.0.2.15,2
6,58167,443,54,1456336361.527445,A,10.0.2.15,195.154.107.23,2
6,443,58167,1474,1456336361.527531,A,195.154.107.23,10.0.2.15,2
6,443,58167,1474,1456336361.527541,A,195.154.107.23,10.0.2.15,2
6,443,58167,1146,1456336361.527545,PA,195.154.107.23,10.0.2.15,2
6,58167,443,54,1456336361.527651,A,10.0.2.15,195.154.107.23,2
6,58167,443,597,1456336361.528199,PA,10.0.2.15,195.154.107.23,2
6,443,58167,60,1456336361.528285,A,195.154.107.23,10.0.2.15,2
6,443,58167,1474,1456336361.545387,A,195.154.107.23,10.0.2.15,2
6,443,58167,1310,1456336361.545436,PA,195.154.107.23,10.0.2.15,2
6,58167,443,54,1456336361.545524,A,10.0.2.15,195.154.107.23,2
6,443,58167,1474,1456336361.656278,A,195.154.107.23,10.0.2.15,2
6,443,58167,1474,1456336361.656386,A,195.154.107.23,10.0.2.15,2
6,443,58167,1228,1456336361.656402,PA,195.154.107.23,10.0.2.15,2
6,443,58167,1474,1456336361.656416,A,195.154.107.23,10.0.2.15,2
6,443,58167,1474,1456336361.656430,A,195.154.107.23,10.0.2.15,2
6,443,58167,1228,1456336361.656457,PA,195.154.107.23,10.0.2.15,2
6,58167,443,54,1456336361.656617,A,10.0.2.15,195.154.107.23,2
6,443,58167,1392,1456336361.673154,PA,195.154.107.23,10.0.2.15,2
6,443,58167,1392,1456336361.673194,PA,195.154.107.23,10.0.2.15,2
6,58167,443,54,1456336361.673204,A,10.0.2.15,195.154.107.23,2
6,58167,443,1111,1456336361.677283,PA,10.0.2.15,195.154.107.23,2
6,443,58167,60,1456336361.677411,A,195.154.107.23,10.0.2.15,2
6,443,58167,1392,1456336361.785518,PA,195.154.107.23,10.0.2.15,2
6,443,58167,1392,1456336361.785583,PA,195.154.107.23,10.0.2.15,2
6,443,58167,1392,1456336361.785599,PA,195.154.107.23,10.0.2.15,2
6,58167,443,54,1456336361.785696,A,10.0.2.15,195.154.107.23,2
6,443,58167,1474,1456336361.785811,A,195.154.107.23,10.0.2.15,2
6,443,58167,1474,1456336361.785820,A,195.154.107.23,10.0.2.15,2
6,443,58167,1228,1456336361.785824,PA,195.154.107.23,10.0.2.15,2
6,58167,443,54,1456336361.785956,A,10.0.2.15,195.154.107.23,2
6,58167,443,597,1456336361.786108,PA,10.0.2.15,195.154.107.23,2
6,443,58167,60,1456336361.786219,A,195.154.107.23,10.0.2.15,2
6,443,58167,1474,1456336361.801071,A,195.154.107.23,10.0.2.15,2
