protocol,src_port,dst_port,packet_length,timestamp,flags,src_ip,dst_ip,classification
6,34160,9001,609,1427991171.506696,PA,131.202.240.150,217.23.3.253,6
6,9001,34160,66,1427991171.636201,A,217.23.3.253,131.202.240.150,6
6,9001,34160,609,1427991171.667341,PA,217.23.3.253,131.202.240.150,6
6,34160,9001,609,1427991171.667929,PA,131.202.240.150,217.23.3.253,6
6,9001,34160,66,1427991171.833559,A,217.23.3.253,131.202.240.150,6
6,34160,9001,1152,1427991171.833592,PA,131.202.240.150,217.23.3.253,6
6,9001,34160,66,1427991171.966281,A,217.23.3.253,131.202.240.150,6
6,34160,9001,609,1427991171.966314,PA,131.202.240.150,217.23.3.253,6
6,9001,34160,609,1427991171.976810,PA,217.23.3.253,131.202.240.150,6
6,34160,9001,1404,1427991171.979864,A,131.202.240.150,217.23.3.253,6
6,34160,9001,1404,1427991171.980119,A,131.202.240.150,217.23.3.253,6
6,34160,9001,1404,1427991172.055328,A,131.202.240.150,217.23.3.253,6
6,9001,34160,1152,1427991172.108424,PA,217.23.3.253,131.202.240.150,6
6,34160,9001,396,1427991172.108461,PA,131.202.240.150,217.23.3.253,6
6,34160,9001,1404,1427991172.108856,A,131.202.240.150,217.23.3.253,6
6,9001,34160,66,1427991172.152375,A,217.23.3.253,131.202.240.150,6
6,9001,34160,66,1427991172.187456,A,217.23.3.253,131.202.240.150,6
6,34160,9001,1404,1427991172.207477,A,131.202.240.150,217.23.3.253,6
6,9001,34160,1152,1427991172.237255,PA,217.23.3.253,131.202.240.150,6
6,34160,9001,590,1427991172.237291,PA,131.202.240.150,217.23.3.253,6
6,9001,34160,66,1427991172.277110,A,217.23.3.253,131.202.240.150,6
6,9001,34160,66,1427991172.337158,A,217.23.3.253,131.202.240.150,6
6,9001,34160,1152,1427991172.369010,PA,217.23.3.253,131.202.240.150,6
6,34160,9001,609,1427991172.369046,PA,131.202.240.150,217.23.3.253,6
6,9001,34160,1404,1427991172.447391,A,217.23.3.253,131.202.240.150,6
6,34160,9001,1404,1427991172.449594,A,131.202.240.150,217.23.3.253,6
6,9001,34160,1404,1427991172.485402,A,217.23.3.253,131.202.240.150,6
6,9001,34160,105,1427991172.497250,PA,217.23.3.253,131.202.240.150,6
6,34160,9001,357,1427991172.497285,PA,131.202.240.150,217.23.3.253,6
6,34160,9001,1404,1427991172.569851,A,131.202.240.150,217.23.3.253,6
6,34160,9001,1404,1427991172.593228,A,131.202.240.150,217.23.3.253,6
6,9001,34160,66,1427991172.626135,A,217.23.3.253,131.202.240.150,6
6,34160,9001,105,1427991172.626168,PA,131.202.240.150,217.23.3.253,6
6,9001,34160,609,1427991172.632273,PA,217.23.3.253,131.202.240.150,6
6,34160,9001,66,1427991172.670350,A,131.202.240.150,217.23.3.253,6
6,9001,34160,1404,1427991172.699426,A,217.23.3.253,131.202.240.150,6
6,34160,9001,66,1427991172.738415,A,131.202.240.150,217.23.3.253,6
6,9001,34160,66,1427991172.754262,A,217.23.3.253,131.202.240.150,6
6,9001,34160,1404,1427991172.772629,A,217.23.3.253,131.202.240.150,6
6,34160,9001,609,1427991172.773084,PA,131.202.240.150,217.23.3.253,6
6,34160,9001,1404,1427991172.790154,A,131.202.240.150,217.23.3.253,6
6,9001,34160,105,1427991172.800878,PA,217.23.3.253,131.202.240.150,6
6,34160,9001,66,1427991172.882449,A,131.202.240.150,217.23.3.253,6
6,9001,34160,4080,1427991172.894890,A,217.23.3.253,131.202.240.150,6
6,34160,9001,66,1427991172.894958,A,131.202.240.150,217.23.3.253,6
6,9001,34160,1404,1427991172.895420,A,217.23.3.253,131.202.240.150,6
6,9001,34160,1404,1427991172.895890,A,217.23.3.253,131.202.240.150,6
6,34160,9001,66,1427991172.895931,A,131.202.240.150,217.23.3.253,6
6,34160,9001,1404,1427991172.896003,A,131.202.240.150,217.23.3.253,6
6,9001,34160,1404,1427991172.901693,A,217.23.3.253,131.202.240.150,6
6,34160,9001,105,1427991172.901748,PA,131.202.240.150,217.23.3.253,6
6,9001,34160,1404,1427991172.901798,A,217.23.3.253,131.202.240.150,6
6,9001,34160,4080,1427991172.902249,A,217.23.3.253,131.202.240.150,6
6,34160,9001,66,1427991172.902283,A,131.202.240.150,217.23.3.253,6
6,9001,34160,66,1427991172.962079,A,217.23.3.253,131.202.240.150,6
6,9001,34160,2742,1427991173.024924,A,217.23.3.253,131.202.240.150,6
6,34160,9001,66,1427991173.024983,A,131.202.240.150,217.23.3.253,6
6,9001,34160,4080,1427991173.025940,A,217.23.3.253,131.202.240.150,6
6,34160,9001,66,1427991173.025983,A,131.202.240.150,217.23.3.253,6
6,9001,34160,1404,1427991173.026132,A,217.23.3.253,131.202.240.150,6
6,9001,34160,1404,1427991173.030203,A,217.23.3.253,131.202.240.150,6
6,34160,9001,66,1427991173.030246,A,131.202.240.150,217.23.3.253,6
6,9001,34160,1404,1427991173.030262,A,217.23.3.253,131.202.240.150,6
6,9001,34160,1404,1427991173.030445,A,217.23.3.253,131.202.240.150,6
6,34160,9001,66,1427991173.030496,A,131.202.240.150,217.23.3.253,6
